TotalRevenue,TotalOrders,FirstPurchase,LastPurchase,RetentionPeriodDays,AverageOrderValue,RevenueSegment,RegionSegment,RetentionPeriodYears,PurchaseFrequency,CLTV
816.85,43,07-10-2010 13:49,22-11-2010 16:10,46,18.99651163,High,Australia,0.126027397,341.1956522,817
2048.64,98,16-04-2010 10:16,03-12-2010 16:35,231,20.9044898,VIP,Belgium,0.632876712,154.8484848,2049
931.43,65,03-02-2010 13:22,03-02-2010 13:22,0,14.32969231,High,RSA,0,0,0
853.65,51,05-03-2010 08:45,19-11-2010 08:53,259,16.73823529,High,Belgium,0.709589041,71.87258687,854
205.25,11,21-10-2010 13:45,21-10-2010 13:45,0,18.65909091,Medium,Australia,0,0,0
1031.3,59,07-02-2010 12:41,12-11-2010 09:50,277,17.47966102,VIP,Belgium,0.75890411,77.74368231,1032
591.66,4,06-07-2010 11:39,06-07-2010 11:39,0,147.915,High,Denmark,0,0,0
63.24,1,26-01-2010 16:25,26-01-2010 16:25,0,63.24,Low,Finland,0,0,0
2975.06,61,11-01-2010 14:04,05-11-2010 11:42,297,48.77147541,VIP,Denmark,0.81369863,74.96632997,2976
1452.22,54,29-07-2010 13:27,19-11-2010 13:21,112,26.89296296,VIP,Belgium,0.306849315,175.9821429,1453
12346.62,155,23-05-2010 15:21,15-10-2010 10:24,144,79.6556129,VIP,Switzerland,0.394520548,392.8819444,12347
320.38,14,25-07-2010 13:26,25-07-2010 13:26,0,22.88428571,Medium,Switzerland,0,0,0
346.9,22,26-10-2010 09:25,26-10-2010 09:25,0,15.76818182,Medium,Australia,0,0,0
1370.05,66,18-06-2010 13:22,02-11-2010 17:02,137,20.75833333,VIP,Denmark,0.375342466,175.8394161,1371
241.35,13,02-11-2010 13:26,02-11-2010 13:26,0,18.56538462,Medium,Spain,0,0,0
390,10,02-09-2010 12:22,02-09-2010 13:47,0,39,Medium,Austria,0,0,0
19543.84,212,30-06-2010 08:30,29-11-2010 15:07,152,92.18792453,VIP,Australia,0.416438356,509.0789474,19544
202.56,11,21-02-2010 10:19,21-02-2010 10:19,0,18.41454545,Medium,Australia,0,0,0
3148.31,177,06-12-2009 10:30,25-10-2010 14:27,323,17.78706215,VIP,Belgium,0.884931507,200.0154799,3149
1352.62,68,19-03-2010 14:47,22-10-2010 10:29,216,19.89147059,VIP,Switzerland,0.591780822,114.9074074,1353
503.01,25,22-10-2010 10:40,19-11-2010 10:04,27,20.1204,High,Spain,0.073972603,337.962963,504
291.56,20,22-07-2010 13:57,20-10-2010 14:28,90,14.578,Medium,Spain,0.246575342,81.11111111,292
4428.24,133,18-12-2009 12:44,10-11-2010 13:19,327,33.29503759,VIP,Australia,0.895890411,148.4556575,4429
763.08,40,31-08-2010 09:31,17-11-2010 11:33,78,19.077,High,Denmark,0.21369863,187.1794872,764
1579.07,62,09-06-2010 15:15,13-10-2010 10:29,125,25.46887097,VIP,Australia,0.342465753,181.04,1580
964.21,55,17-09-2010 14:10,17-09-2010 14:10,0,17.53109091,High,Portugal,0,0,0
762.48,47,15-02-2010 08:41,15-02-2010 08:41,0,16.22297872,High,Germany,0,0,0
303.5,10,03-12-2010 10:44,03-12-2010 10:44,0,30.35,Medium,Germany,0,0,0
3735.51,76,11-06-2010 13:28,09-12-2010 12:05,180,49.15144737,VIP,Denmark,0.493150685,154.1111111,3736
4370.52,170,15-01-2010 09:04,01-12-2010 10:03,320,25.70894118,VIP,Belgium,0.876712329,193.90625,4371
7205.39,286,20-08-2010 09:23,08-12-2010 16:49,110,25.19367133,VIP,Norway,0.301369863,949,7206
297.29,20,23-11-2010 13:38,23-11-2010 13:38,0,14.8645,Medium,Australia,0,0,0
6096.04,76,02-12-2009 13:58,08-11-2010 10:07,340,80.21105263,VIP,Denmark,0.931506849,81.58823529,6097
7731.99,364,02-12-2009 16:24,09-11-2010 14:46,341,21.24173077,VIP,France,0.934246575,389.6187683,7732
1142.88,71,14-12-2009 08:40,26-01-2010 12:11,43,16.09690141,VIP,Cyprus,0.117808219,602.6744186,1143
859.2,32,22-12-2009 12:03,03-09-2010 13:11,255,26.85,High,Austria,0.698630137,45.80392157,860
173.55,11,08-12-2010 10:45,08-12-2010 10:45,0,15.77727273,Medium,France,0,0,0
485.31,21,07-12-2009 15:42,07-12-2009 15:42,0,23.11,Medium,Norway,0,0,0
301.58,20,15-10-2010 12:28,15-10-2010 12:28,0,15.079,Medium,Spain,0,0,0
768.6,10,27-09-2010 09:37,25-10-2010 12:21,28,76.86,High,Denmark,0.076712329,130.3571429,769
490.32,29,22-08-2010 13:11,05-11-2010 16:27,75,16.90758621,Medium,Spain,0.205479452,141.1333333,491
3634.36,157,28-06-2010 12:58,02-09-2010 15:38,66,23.14878981,VIP,Switzerland,0.180821918,868.2575758,3635
13151.44,25,14-10-2010 17:33,09-11-2010 10:09,25,526.0576,VIP,Spain,0.068493151,365,13152
3413.09,137,18-12-2009 12:33,20-09-2010 14:39,276,24.91306569,VIP,Cyprus,0.756164384,181.1775362,3414
632.68,22,30-09-2010 17:59,30-09-2010 17:59,0,28.75818182,High,Switzerland,0,0,0
830.09,46,09-08-2010 10:33,08-10-2010 11:36,60,18.04543478,High,Switzerland,0.164383562,279.8333333,831
454.36,23,13-04-2010 14:53,13-04-2010 14:53,0,19.75478261,Medium,Spain,0,0,0
326.65,18,09-09-2010 13:51,09-09-2010 13:51,0,18.14722222,Medium,Belgium,0,0,0
56.73,1,26-01-2010 16:26,26-01-2010 16:26,0,56.73,Low,France,0,0,0
132.8,9,12-10-2010 15:41,12-10-2010 15:41,0,14.75555556,Medium,USA,0,0,0
2941.2,112,26-01-2010 10:09,01-07-2010 10:28,156,26.26071429,VIP,Germany,0.42739726,262.0512821,2942
3070.54,76,21-06-2010 10:30,05-07-2010 12:40,14,40.40184211,VIP,Thailand,0.038356164,1981.428571,3071
211.95,23,19-01-2010 11:01,19-01-2010 11:01,0,9.215217391,Medium,Unspecified,0,0,0
20129.54,676,07-12-2009 10:41,30-11-2010 14:35,358,29.77742604,VIP,Germany,0.980821918,689.2178771,20130
11308.48,572,14-12-2009 10:49,05-12-2010 14:19,356,19.77006993,VIP,Germany,0.975342466,586.4606742,11309
5048.66,286,11-02-2010 09:41,26-11-2010 12:19,288,17.65265734,VIP,Germany,0.789041096,362.4652778,5049
426.26,25,26-10-2010 08:49,26-10-2010 08:49,0,17.0504,Medium,Germany,0,0,0
7267.49,281,26-07-2010 09:04,08-11-2010 09:35,105,25.86295374,VIP,Germany,0.287671233,976.8095238,7268
7056.63,264,26-03-2010 14:01,05-11-2010 09:35,223,26.72965909,VIP,Germany,0.610958904,432.1076233,7057
2183.22,88,20-07-2010 13:21,05-11-2010 15:08,108,24.80931818,VIP,Germany,0.295890411,297.4074074,2184
6765.07,174,11-04-2010 13:10,09-12-2010 10:13,241,38.87971264,VIP,Germany,0.660273973,263.526971,6766
23691.4,204,24-02-2010 10:24,12-05-2010 16:51,77,116.1343137,VIP,Sweden,0.210958904,967.012987,23692
2612.2,63,31-01-2010 13:28,26-11-2010 12:35,298,41.46349206,VIP,Sweden,0.816438356,77.16442953,2613
1826.78,128,27-01-2010 16:41,13-08-2010 13:45,197,14.27171875,VIP,Spain,0.539726027,237.1573604,1827
708.1,34,28-06-2010 15:22,28-06-2010 15:22,0,20.82647059,High,Sweden,0,0,0
1037.28,49,04-10-2010 12:14,04-10-2010 12:14,0,21.16897959,VIP,Sweden,0,0,0
285.3,2,09-12-2009 11:36,09-12-2009 11:36,0,142.65,Medium,Sweden,0,0,0
4405.71,217,01-12-2009 12:52,26-11-2010 14:16,360,20.30281106,VIP,France,0.98630137,220.0138889,4406
452,22,01-11-2010 14:58,01-11-2010 14:58,0,20.54545455,Medium,Germany,0,0,0
626.77,34,12-05-2010 13:52,09-12-2010 11:31,210,18.43441176,High,France,0.575342466,59.0952381,627
357.4,17,09-03-2010 10:53,09-03-2010 10:53,0,21.02352941,Medium,Sweden,0,0,0
45.34,10,29-03-2010 13:57,29-03-2010 14:06,0,4.534,Low,Spain,0,0,0
5205.4,43,05-03-2010 09:39,04-11-2010 12:31,244,121.055814,VIP,Germany,0.668493151,64.32377049,5206
393.72,27,28-05-2010 15:12,28-05-2010 15:12,0,14.58222222,Medium,Germany,0,0,0
1697.39,85,04-02-2010 15:05,30-09-2010 18:45,238,19.96929412,VIP,Germany,0.652054795,130.3571429,1698
1126,2,04-05-2010 13:59,04-05-2010 13:59,0,563,VIP,Spain,0,0,0
297,11,22-04-2010 10:24,18-10-2010 15:09,179,27,Medium,Germany,0.490410959,22.4301676,297
955.2,42,27-10-2010 09:18,27-10-2010 09:18,0,22.74285714,High,Italy,0,0,0
539.25,28,04-05-2010 09:23,04-05-2010 09:23,0,19.25892857,High,Spain,0,0,0
4195.45,112,04-12-2009 13:47,06-09-2010 14:27,276,37.459375,VIP,Spain,0.756164384,148.115942,4196
3084.02,190,07-10-2010 10:39,07-10-2010 10:39,0,16.23168421,VIP,Greece,0,0,0
580.08,33,08-03-2010 12:18,08-03-2010 12:18,0,17.57818182,High,Italy,0,0,0
1336.56,48,19-04-2010 14:14,05-10-2010 09:43,168,27.845,VIP,Germany,0.460273973,104.2857143,1337
385.7,22,20-08-2010 08:21,20-08-2010 08:21,0,17.53181818,Medium,Germany,0,0,0
2562.58,143,07-12-2009 13:46,30-11-2010 12:31,357,17.92013986,VIP,France,0.978082192,146.2044818,2563
6640.39,96,08-02-2010 14:41,16-11-2010 09:08,280,69.17072917,VIP,Germany,0.767123288,125.1428571,6641
973.73,60,02-03-2010 14:01,29-07-2010 16:08,149,16.22883333,High,France,0.408219178,146.9798658,974
386.8,14,28-06-2010 15:37,02-08-2010 12:23,34,27.62857143,Medium,Germany,0.093150685,150.2941176,387
316.48,21,29-06-2010 13:10,29-06-2010 13:10,0,15.07047619,Medium,France,0,0,0
2096.98,92,07-03-2010 14:37,20-10-2010 15:15,227,22.79326087,VIP,Germany,0.621917808,147.9295154,2097
1807.98,110,22-01-2010 14:17,22-01-2010 14:17,0,16.43618182,VIP,Germany,0,0,0
1367.89,72,01-12-2009 11:50,22-03-2010 10:56,110,18.99847222,VIP,Germany,0.301369863,238.9090909,1368
732.94,43,27-10-2010 08:36,27-10-2010 08:36,0,17.04511628,High,Sweden,0,0,0
276.5,13,26-11-2010 13:02,26-11-2010 13:02,0,21.26923077,Medium,Spain,0,0,0
5646.4,231,23-12-2009 13:00,15-09-2010 09:50,265,24.44329004,VIP,Spain,0.726027397,318.1698113,5647
8854.25,293,07-12-2009 16:56,26-11-2010 10:43,353,30.21928328,VIP,Spain,0.967123288,302.9603399,8855
481.88,39,09-03-2010 16:26,12-08-2010 19:12,156,12.35589744,Medium,Spain,0.42739726,91.25,482
980.25,43,17-09-2010 15:51,17-09-2010 15:51,0,22.79651163,High,Spain,0,0,0
175.78,13,27-07-2010 13:55,27-07-2010 13:55,0,13.52153846,Medium,Spain,0,0,0
1575.68,49,11-01-2010 12:29,13-05-2010 12:05,121,32.15673469,VIP,USA,0.331506849,147.8099174,1576
916.47,47,12-10-2010 13:35,19-11-2010 12:18,37,19.4993617,High,France,0.101369863,463.6486486,917
468.5,26,17-09-2010 12:29,17-09-2010 12:29,0,18.01923077,Medium,Spain,0,0,0
129.23,1,26-01-2010 16:26,26-01-2010 16:26,0,129.23,Medium,Spain,0,0,0
6725.18,25,17-12-2009 10:39,03-12-2010 12:20,351,269.0072,VIP,Spain,0.961643836,25.997151,6726
1185.18,39,30-09-2010 13:13,19-11-2010 09:35,49,30.38923077,VIP,France,0.134246575,290.5102041,1186
249.24,13,27-10-2010 09:52,27-10-2010 09:52,0,19.17230769,Medium,Italy,0,0,0
4308.58,193,11-02-2010 10:30,07-12-2010 10:36,299,22.3242487,VIP,France,0.819178082,235.6020067,4309
70,5,05-03-2010 09:15,05-03-2010 09:15,0,14,Low,Germany,0,0,0
77.52,1,26-01-2010 17:28,26-01-2010 17:28,0,77.52,Low,Spain,0,0,0
556.87,91,31-08-2010 17:25,23-11-2010 13:01,83,6.119450549,High,France,0.22739726,400.1807229,557
622.82,38,01-07-2010 09:15,08-09-2010 13:09,69,16.39,High,France,0.189041096,201.0144928,623
826.89,54,01-07-2010 13:46,12-11-2010 12:44,133,15.31277778,High,Poland,0.364383562,148.1954887,827
990.5,152,03-12-2009 19:31,23-11-2010 14:06,354,6.516447368,High,France,0.969863014,156.7231638,991
1847.94,58,22-09-2010 11:19,19-11-2010 17:21,58,31.86103448,VIP,Italy,0.15890411,365,1848
637.2,34,12-05-2010 11:45,12-05-2010 11:45,0,18.74117647,High,Germany,0,0,0
1469.04,81,11-05-2010 09:55,13-10-2010 10:52,155,18.1362963,VIP,Finland,0.424657534,190.7419355,1470
7166.06,219,06-12-2009 11:57,01-12-2010 08:45,359,32.72173516,VIP,France,0.983561644,222.6601671,7167
1865.73,83,16-12-2009 13:15,30-11-2010 10:47,348,22.4786747,VIP,Italy,0.953424658,87.0545977,1866
743.88,36,21-04-2010 12:22,05-11-2010 12:53,198,20.66333333,High,Finland,0.542465753,66.36363636,744
4048.98,145,19-01-2010 12:26,14-10-2010 11:54,267,27.924,VIP,France,0.731506849,198.2209738,4049
886.1,42,27-10-2010 10:42,14-11-2010 14:32,18,21.09761905,High,Italy,0.049315068,851.6666667,887
2145.06,63,08-07-2010 14:06,08-07-2010 14:26,0,34.04857143,VIP,Germany,0,0,0
1751.89,81,03-03-2010 13:51,26-11-2010 12:17,267,21.6282716,VIP,Italy,0.731506849,110.7303371,1752
299.02,19,23-07-2010 09:10,23-07-2010 09:10,0,15.73789474,Medium,Germany,0,0,0
1511.01,74,01-03-2010 09:58,02-09-2010 14:22,185,20.41905405,VIP,France,0.506849315,146,1512
1264.14,71,11-05-2010 10:42,23-11-2010 15:49,196,17.80478873,VIP,France,0.536986301,132.2193878,1265
2444.88,68,07-12-2009 13:37,03-12-2010 12:57,360,35.95411765,VIP,Germany,0.98630137,68.94444444,2445
104.2,6,31-10-2010 10:57,31-10-2010 10:57,0,17.36666667,Medium,Germany,0,0,0
1232.95,76,07-09-2010 14:21,28-11-2010 14:18,81,16.22302632,VIP,Germany,0.221917808,342.4691358,1233
21,1,26-01-2010 16:23,26-01-2010 16:23,0,21,Low,Spain,0,0,0
415.79,16,31-10-2010 10:49,31-10-2010 10:49,0,25.986875,Medium,United Kingdom,0,0,0
2309.01,115,20-12-2009 13:30,30-11-2010 14:48,345,20.07834783,VIP,Germany,0.945205479,121.6666667,2310
3472.99,173,14-12-2009 13:10,16-11-2010 17:17,337,20.07508671,VIP,Germany,0.923287671,187.3738872,3473
3449.79,165,18-03-2010 14:09,22-10-2010 09:45,217,20.90781818,VIP,France,0.594520548,277.5345622,3450
417.8,22,16-11-2010 11:38,16-11-2010 11:38,0,18.99090909,Medium,France,0,0,0
140.14,10,28-05-2010 12:52,28-05-2010 12:52,0,14.014,Medium,Germany,0,0,0
11086.14,303,09-02-2010 12:01,09-12-2010 10:16,302,36.58792079,VIP,Germany,0.82739726,366.2086093,11087
3442.74,155,12-01-2010 11:45,19-10-2010 09:35,279,22.21122581,VIP,Germany,0.764383562,202.7777778,3443
2481.06,97,22-04-2010 11:33,18-07-2010 15:56,87,25.57793814,VIP,Germany,0.238356164,406.954023,2482
1558.22,45,12-10-2010 16:40,19-11-2010 09:18,37,34.62711111,VIP,Sweden,0.101369863,443.9189189,1559
2841.07,152,15-01-2010 14:50,09-09-2010 14:50,237,18.69125,VIP,Finland,0.649315068,234.092827,2842
804.88,35,24-05-2010 09:07,07-07-2010 09:39,44,22.99657143,High,Germany,0.120547945,290.3409091,805
3514.18,205,02-07-2010 11:44,22-11-2010 13:09,143,17.14234146,VIP,Germany,0.391780822,523.2517483,3515
490,20,09-06-2010 15:41,22-06-2010 10:05,12,24.5,Medium,USA,0.032876712,608.3333333,490
1241.23,78,09-09-2010 10:50,12-11-2010 15:46,64,15.91320513,VIP,Germany,0.175342466,444.84375,1242
141,1,01-12-2009 09:55,01-12-2009 09:55,0,141,Medium,USA,0,0,0
2280.91,232,14-06-2010 13:36,26-11-2010 13:50,165,9.831508621,VIP,France,0.452054795,513.2121212,2281
249.8,9,10-03-2010 10:30,10-03-2010 10:30,0,27.75555556,Medium,Sweden,0,0,0
826.27,42,22-03-2010 09:05,01-10-2010 12:17,193,19.67309524,High,Sweden,0.528767123,79.43005181,827
4960.18,27,07-04-2010 14:16,19-11-2010 12:42,225,183.7103704,VIP,France,0.616438356,43.8,4961
1440.58,80,14-01-2010 13:02,05-10-2010 10:23,263,18.00725,VIP,Germany,0.720547945,111.026616,1441
1764.12,87,09-02-2010 10:49,26-10-2010 18:44,259,20.27724138,VIP,Germany,0.709589041,122.6061776,1765
14201.53,429,13-01-2010 15:06,07-12-2010 12:28,327,33.10379953,VIP,Germany,0.895890411,478.853211,14202
793.95,44,07-01-2010 18:38,28-09-2010 10:35,263,18.04431818,High,Germany,0.720547945,61.06463878,794
1671.14,87,12-01-2010 17:24,22-11-2010 12:57,313,19.20850575,VIP,Germany,0.857534247,101.4536741,1672
263.75,21,31-08-2010 15:21,26-11-2010 11:58,86,12.55952381,Medium,France,0.235616438,89.12790698,264
97.05,3,01-10-2010 15:16,01-10-2010 15:16,0,32.35,Low,Germany,0,0,0
1950.98,43,01-07-2010 09:56,01-07-2010 09:56,0,45.37162791,VIP,Israel,0,0,0
261.35,16,12-10-2010 09:17,12-10-2010 09:17,0,16.334375,Medium,France,0,0,0
2356.66,121,26-05-2010 09:00,10-10-2010 10:43,137,19.47652893,VIP,France,0.375342466,322.3722628,2357
162,11,29-09-2010 16:46,29-09-2010 16:46,0,14.72727273,Medium,Sweden,0,0,0
3138.24,176,01-04-2010 09:50,01-12-2010 13:04,244,17.83090909,VIP,Germany,0.668493151,263.2786885,3139
239.4,10,09-02-2010 14:28,25-03-2010 09:40,43,23.94,Medium,Germany,0.117808219,84.88372093,240
1188.16,8,13-12-2009 10:28,13-07-2010 13:28,212,148.52,VIP,Finland,0.580821918,13.77358491,1189
250.6,14,08-02-2010 15:11,18-10-2010 11:34,251,17.9,Medium,Germany,0.687671233,20.35856574,251
1248.42,31,10-11-2010 16:40,10-11-2010 16:40,0,40.2716129,VIP,Israel,0,0,0
7575.88,375,31-01-2010 15:45,26-11-2010 11:48,298,20.20234667,VIP,Germany,0.816438356,459.3120805,7576
764.24,23,11-02-2010 10:13,19-11-2010 10:05,280,33.22782609,High,France,0.767123288,29.98214286,765
2622.481,45,12-04-2010 16:30,12-04-2010 16:30,0,58.27735556,VIP,Germany,0,0,0
211.15,12,23-04-2010 09:57,23-04-2010 09:57,0,17.59583333,Medium,France,0,0,0
619.5,32,03-11-2010 10:46,03-11-2010 10:46,0,19.359375,High,Germany,0,0,0
957.25,112,10-05-2010 16:44,04-06-2010 09:49,24,8.546875,High,Italy,0.065753425,1703.333333,958
1511.7,62,13-08-2010 13:29,27-10-2010 09:36,74,24.38225806,VIP,Sweden,0.202739726,305.8108108,1512
395.1,21,11-02-2010 13:55,02-06-2010 14:30,111,18.81428571,Medium,France,0.304109589,69.05405405,396
16652.72,211,07-01-2010 16:46,29-11-2010 09:55,325,78.9228436,VIP,France,0.890410959,236.9692308,16653
17080.74,827,13-12-2009 13:31,07-12-2010 10:08,358,20.65385732,VIP,France,0.980821918,843.1703911,17081
11745.69,514,01-12-2009 09:28,09-12-2010 14:49,373,22.85153696,VIP,France,1.021917808,502.9758713,11746
4220.21,197,13-12-2009 15:01,09-12-2010 12:17,360,21.42238579,VIP,France,0.98630137,199.7361111,4221
89.14,7,03-12-2010 09:51,03-12-2010 09:51,0,12.73428571,Low,France,0,0,0
2138.91,126,16-08-2010 12:10,16-08-2010 12:12,0,16.97547619,VIP,Sweden,0,0,0
134.6,7,15-10-2010 12:00,15-10-2010 12:00,0,19.22857143,Medium,France,0,0,0
110.95,13,12-03-2010 14:02,12-03-2010 14:02,0,8.534615385,Medium,France,0,0,0
847.11,40,05-07-2010 13:56,08-11-2010 14:57,126,21.17775,High,Germany,0.345205479,115.8730159,848
973.68,46,14-10-2010 19:39,14-10-2010 19:39,0,21.16695652,High,France,0,0,0
825.02,32,12-02-2010 13:22,29-06-2010 16:12,137,25.781875,High,France,0.375342466,85.25547445,826
851.91,49,19-07-2010 10:02,01-10-2010 10:43,74,17.38591837,High,Finland,0.202739726,241.6891892,852
339.75,16,28-04-2010 15:51,28-04-2010 15:51,0,21.234375,Medium,Germany,0,0,0
638.11,41,18-10-2010 12:07,18-10-2010 12:07,0,15.56365854,High,Germany,0,0,0
1648.7,94,16-03-2010 13:23,28-06-2010 13:44,104,17.5393617,VIP,Germany,0.284931507,329.9038462,1649
722.98,53,24-01-2010 12:05,16-03-2010 13:22,51,13.64113208,High,Germany,0.139726027,379.3137255,723
4893.81,265,24-06-2010 09:51,21-11-2010 13:59,150,18.46720755,VIP,Germany,0.410958904,644.8333333,4894
2601.19,153,18-12-2009 10:25,06-12-2010 10:43,353,17.00124183,VIP,Germany,0.967123288,158.2011331,2602
21107.94,290,09-12-2009 13:49,08-12-2010 09:49,363,72.786,VIP,Germany,0.994520548,291.5977961,21108
1339.05,60,01-02-2010 11:30,07-04-2010 11:59,65,22.3175,VIP,Germany,0.178082192,336.9230769,1340
2797.53,143,09-12-2009 10:46,09-12-2010 11:39,365,19.56314685,VIP,Germany,1,143,2798
9384.85,437,04-12-2009 10:00,16-11-2010 18:10,347,21.47562929,VIP,France,0.950684932,459.6685879,9385
277.93,16,28-04-2010 14:34,28-04-2010 14:34,0,17.370625,Medium,Greece,0,0,0
2478.94,155,21-07-2010 09:46,05-12-2010 15:21,137,15.99316129,VIP,Germany,0.375342466,412.9562044,2479
1356.95,78,25-08-2010 11:07,19-11-2010 15:13,86,17.39679487,VIP,France,0.235616438,331.0465116,1357
1286.11,76,22-06-2010 14:00,21-11-2010 13:26,151,16.9225,VIP,France,0.41369863,183.7086093,1287
2266.76,106,04-05-2010 13:59,03-12-2010 15:45,213,21.3845283,VIP,Italy,0.583561644,181.6431925,2267
1405.5,55,25-03-2010 16:25,17-11-2010 16:59,237,25.55454545,VIP,France,0.649315068,84.70464135,1406
1698.83,64,23-02-2010 09:54,23-09-2010 10:45,212,26.54421875,VIP,France,0.580821918,110.1886792,1699
233.84,15,21-11-2010 11:34,21-11-2010 11:34,0,15.58933333,Medium,France,0,0,0
829.25,47,06-07-2010 12:19,06-07-2010 12:19,0,17.64361702,High,Germany,0,0,0
6879.8,119,02-03-2010 09:23,23-09-2010 15:12,205,57.81344538,VIP,France,0.561643836,211.8780488,6880
2040.92,135,19-01-2010 13:23,15-11-2010 13:56,300,15.11792593,VIP,USA,0.821917808,164.25,2041
529.25,15,12-11-2010 13:26,30-11-2010 11:05,17,35.28333333,High,France,0.046575342,322.0588235,530
3710.5,2,29-07-2010 12:27,29-07-2010 12:29,0,1855.25,VIP,France,0,0,0
155.35,11,02-12-2010 18:27,02-12-2010 18:27,0,14.12272727,Medium,Germany,0,0,0
1713.69,51,10-11-2010 14:27,19-11-2010 09:42,8,33.60176471,VIP,United Arab Emirates,0.021917808,2326.875,1714
406.07,16,24-06-2010 16:24,28-06-2010 14:36,3,25.379375,Medium,USA,0.008219178,1946.666667,407
1201.52,67,24-03-2010 12:43,24-03-2010 12:43,0,17.93313433,VIP,United Arab Emirates,0,0,0
4037.77,117,27-04-2010 16:19,06-09-2010 10:24,131,34.5108547,VIP,Singapore,0.35890411,325.9923664,4038
925.41,23,26-01-2010 16:22,10-08-2010 10:14,195,40.23521739,High,EIRE,0.534246575,43.05128205,926
254.55,17,17-06-2010 10:41,17-06-2010 10:41,0,14.97352941,Medium,United Kingdom,0,0,0
5061.03,153,07-12-2009 13:23,05-12-2010 15:38,363,33.07862745,VIP,United Kingdom,0.994520548,153.8429752,5062
